year,East_Avg_Rainfall,West_Avg_Rainfall
2000,3039.171428571429,2529.1058823529415
2001,3146.7285714285713,2346.0882352941176
2002,2458.828571428571,2124.6176470588234
2003,2960.7999999999997,2659.8117647058825
2004,2744.6142857142863,2251.6823529411763
2005,2961.8142857142857,2299.70625
2006,3494.1142857142854,2529.005882352941
2007,3303.2714285714287,2496.9411764705883
2008,3339.0571428571425,2820.2000000000003
2009,3209.8571428571427,2679.2999999999997
2010,3051.128571428572,2346.89375
2011,3702.7000000000003,2669.6647058823532
2012,3039.9285714285716,2539.5470588235294
2013,2942.3428571428567,2421.464705882353
2014,2794.171428571429,2447.276470588235
2015,2753.8,2275.579166666667
2016,3089.33,2082.616666666667
2017,3710.1,2650.383333333333
2018,3267.4700000000003,2473.725
2019,2163.3933333333334,2018.076923076923
2020,3348.56,2580.2653846153844
2021,3488.94,2520.331818181818
